rowid,annee,DEPARTEMENT,ecart_region,indicateur,valeur
50,2018,CREUSE,-0.8,part_logements_sociaux_en_pourcentage,12.52
51,2017,CREUSE,-0.5,part_logements_sociaux_en_pourcentage,12.45
52,2016,TARN,-1.59,part_logements_sociaux_en_pourcentage,11
53,2018,TARN,-2.2,part_logements_sociaux_en_pourcentage,11.03
54,2017,TARN,-1.96,part_logements_sociaux_en_pourcentage,10.94
55,2016,SEINE MARITIME,5.21,part_logements_sociaux_en_pourcentage,29.16
56,2018,SEINE MARITIME,4.83,part_logements_sociaux_en_pourcentage,29.82
57,2017,SEINE MARITIME,4.79,part_logements_sociaux_en_pourcentage,29.61
58,2016,GARD,2.18,part_logements_sociaux_en_pourcentage,14.77
59,2018,GARD,1.76,part_logements_sociaux_en_pourcentage,14.99
60,2017,GARD,2.08,part_logements_sociaux_en_pourcentage,14.98
61,2016,MANCHE,-6.96,part_logements_sociaux_en_pourcentage,16.99
62,2018,MANCHE,-4.26,part_logements_sociaux_en_pourcentage,20.73
63,2017,MANCHE,-4.06,part_logements_sociaux_en_pourcentage,20.76
64,2016,BAS RHIN,-5.55,part_logements_sociaux_en_pourcentage,16.49
65,2018,BAS RHIN,-5.45,part_logements_sociaux_en_pourcentage,17.02
66,2017,BAS RHIN,-5.32,part_logements_sociaux_en_pourcentage,16.87
67,2016,SEINE ET MARNE,-4.71,part_logements_sociaux_en_pourcentage,21.54
68,2018,SEINE ET MARNE,-4.97,part_logements_sociaux_en_pourcentage,22.09
69,2017,SEINE ET MARNE,-4.67,part_logements_sociaux_en_pourcentage,21.96
70,2016,HAUTE LOIRE,-7.62,part_logements_sociaux_en_pourcentage,9.25
71,2018,HAUTE LOIRE,-8.48,part_logements_sociaux_en_pourcentage,9.21
72,2017,HAUTE LOIRE,-7.88,part_logements_sociaux_en_pourcentage,9.4
73,2016,MEUSE,-3.16,part_logements_sociaux_en_pourcentage,18.88
74,2017,MEUSE,-3.29,part_logements_sociaux_en_pourcentage,18.9
75,2018,MEUSE,-3.59,part_logements_sociaux_en_pourcentage,18.88
76,2016,SOMME,-2.67,part_logements_sociaux_en_pourcentage,23.43
77,2018,SOMME,-2.23,part_logements_sociaux_en_pourcentage,24.42
78,2017,SOMME,-2.45,part_logements_sociaux_en_pourcentage,23.87
79,2016,ALPES DE HAUTE PROVENCE,-2.87,part_logements_sociaux_en_pourcentage,10.88
80,2018,ALPES DE HAUTE PROVENCE,-2.4,part_logements_sociaux_en_pourcentage,12.01
81,2017,ALPES DE HAUTE PROVENCE,-2.35,part_logements_sociaux_en_pourcentage,11.66
82,2016,CHER,-0.82,part_logements_sociaux_en_pourcentage,17.83
83,2018,CHER,-1.35,part_logements_sociaux_en_pourcentage,17.55
84,2017,CHER,-1.16,part_logements_sociaux_en_pourcentage,17.68
85,2016,MORBIHAN,-1,part_logements_sociaux_en_pourcentage,10.82
86,2018,MORBIHAN,-1.16,part_logements_sociaux_en_pourcentage,11.18
87,2017,MORBIHAN,-1.06,part_logements_sociaux_en_pourcentage,11.02
88,2016,PUY DE DOME,-1.2,part_logements_sociaux_en_pourcentage,15.67
89,2017,PUY DE DOME,-1.11,part_logements_sociaux_en_pourcentage,16.17
90,2018,PUY DE DOME,-1.23,part_logements_sociaux_en_pourcentage,16.46
91,2016,HAUTE SAONE,-3.52,part_logements_sociaux_en_pourcentage,16.17
92,2018,HAUTE SAONE,-3.64,part_logements_sociaux_en_pourcentage,16.17
93,2017,HAUTE SAONE,-3.49,part_logements_sociaux_en_pourcentage,16.29
94,2016,PAS DE CALAIS,3.55,part_logements_sociaux_en_pourcentage,29.65
95,2018,PAS DE CALAIS,3.09,part_logements_sociaux_en_pourcentage,29.74
96,2017,PAS DE CALAIS,3.34,part_logements_sociaux_en_pourcentage,29.66
97,2016,AIN,0.73,part_logements_sociaux_en_pourcentage,17.6
98,2018,AIN,0.7,part_logements_sociaux_en_pourcentage,18.39
99,2017,AIN,0.66,part_logements_sociaux_en_pourcentage,17.94
100,2016,CALVADOS,-2.56,part_logements_sociaux_en_pourcentage,21.39
101,2018,CALVADOS,-2.86,part_logements_sociaux_en_pourcentage,22.13
102,2017,CALVADOS,-2.97,part_logements_sociaux_en_pourcentage,21.85
103,2016,CORREZE,-3.21,part_logements_sociaux_en_pourcentage,9.53
104,2018,CORREZE,-3.45,part_logements_sociaux_en_pourcentage,9.87
105,2017,CORREZE,-3.54,part_logements_sociaux_en_pourcentage,9.41
106,2016,ARDENNES,5.72,part_logements_sociaux_en_pourcentage,27.76
107,2018,ARDENNES,4.54,part_logements_sociaux_en_pourcentage,27.01
108,2017,ARDENNES,4.82,part_logements_sociaux_en_pourcentage,27.01
109,2016,NORD,-0.29,part_logements_sociaux_en_pourcentage,25.81
110,2017,NORD,-0.29,part_logements_sociaux_en_pourcentage,26.03
111,2018,NORD,-0.18,part_logements_sociaux_en_pourcentage,26.47
112,2016,TERRITOIRE DE BELFORT,8.33,part_logements_sociaux_en_pourcentage,28.02
113,2017,TERRITOIRE DE BELFORT,8.2,part_logements_sociaux_en_pourcentage,27.98
114,2018,TERRITOIRE DE BELFORT,8.17,part_logements_sociaux_en_pourcentage,27.98
115,2016,LOIRE ATLANTIQUE,0.21,part_logements_sociaux_en_pourcentage,13.94
116,2018,LOIRE ATLANTIQUE,0.12,part_logements_sociaux_en_pourcentage,14.81
117,2017,LOIRE ATLANTIQUE,0.04,part_logements_sociaux_en_pourcentage,14.36
118,2016,YONNE,-2.23,part_logements_sociaux_en_pourcentage,17.46
119,2017,YONNE,-2.09,part_logements_sociaux_en_pourcentage,17.69
120,2018,YONNE,-2.22,part_logements_sociaux_en_pourcentage,17.59
121,2016,RHONE,4.71,part_logements_sociaux_en_pourcentage,21.58
122,2018,RHONE,5.09,part_logements_sociaux_en_pourcentage,22.78
123,2017,RHONE,4.74,part_logements_sociaux_en_pourcentage,22.02
124,2016,ILLE ET VILAINE,3.39,part_logements_sociaux_en_pourcentage,15.21
125,2018,ILLE ET VILAINE,3.88,part_logements_sociaux_en_pourcentage,16.22
126,2017,ILLE ET VILAINE,3.59,part_logements_sociaux_en_pourcentage,15.67
127,2016,LANDES,-4.6,part_logements_sociaux_en_pourcentage,8.14
128,2018,LANDES,-4.74,part_logements_sociaux_en_pourcentage,8.58
129,2017,LANDES,-4.73,part_logements_sociaux_en_pourcentage,8.22
130,2016,FINISTERE,-0.56,part_logements_sociaux_en_pourcentage,11.26
131,2018,FINISTERE,-0.8,part_logements_sociaux_en_pourcentage,11.54
132,2017,FINISTERE,-0.68,part_logements_sociaux_en_pourcentage,11.4
133,2016,HAUTE SAVOIE,-5.1,part_logements_sociaux_en_pourcentage,11.77
134,2018,HAUTE SAVOIE,-3.34,part_logements_sociaux_en_pourcentage,14.35
135,2017,HAUTE SAVOIE,-3.84,part_logements_sociaux_en_pourcentage,13.44
136,2016,VAL D OISE,0.64,part_logements_sociaux_en_pourcentage,26.89
137,2018,VAL D OISE,0.83,part_logements_sociaux_en_pourcentage,27.89
138,2017,VAL D OISE,0.57,part_logements_sociaux_en_pourcentage,27.2
139,2016,DORDOGNE,-3.03,part_logements_sociaux_en_pourcentage,9.71
140,2018,DORDOGNE,-3.37,part_logements_sociaux_en_pourcentage,9.95
141,2017,DORDOGNE,-3.18,part_logements_sociaux_en_pourcentage,9.77
142,2016,AUBE,6.32,part_logements_sociaux_en_pourcentage,28.36
143,2017,AUBE,6.58,part_logements_sociaux_en_pourcentage,28.77
144,2018,AUBE,6.55,part_logements_sociaux_en_pourcentage,29.02
145,2016,ESSONNE,-3.3,part_logements_sociaux_en_pourcentage,22.95
146,2018,ESSONNE,-3.05,part_logements_sociaux_en_pourcentage,24.01
147,2017,ESSONNE,-3.16,part_logements_sociaux_en_pourcentage,23.47
148,2016,COTE D OR,-0.04,part_logements_sociaux_en_pourcentage,19.65
149,2017,COTE D OR,0.18,part_logements_sociaux_en_pourcentage,19.96
150,2018,COTE D OR,0.52,part_logements_sociaux_en_pourcentage,20.33
151,2016,MARNE,13.99,part_logements_sociaux_en_pourcentage,36.03
152,2018,MARNE,13.93,part_logements_sociaux_en_pourcentage,36.4
153,2017,MARNE,13.72,part_logements_sociaux_en_pourcentage,35.91
154,2016,MEURTHE ET MOSELLE,-2.57,part_logements_sociaux_en_pourcentage,19.47
155,2017,MEURTHE ET MOSELLE,-2.31,part_logements_sociaux_en_pourcentage,19.88
156,2018,MEURTHE ET MOSELLE,-2.13,part_logements_sociaux_en_pourcentage,20.34
157,2016,JURA,-2.71,part_logements_sociaux_en_pourcentage,16.98
158,2018,JURA,-2.88,part_logements_sociaux_en_pourcentage,16.93
159,2017,JURA,-2.88,part_logements_sociaux_en_pourcentage,16.9
160,2016,COTES D ARMOR,-3.59,part_logements_sociaux_en_pourcentage,8.23
161,2018,COTES D ARMOR,-3.83,part_logements_sociaux_en_pourcentage,8.51
162,2017,COTES D ARMOR,-3.67,part_logements_sociaux_en_pourcentage,8.41
163,2016,HAUTES PYRENEES,4.96,part_logements_sociaux_en_pourcentage,17.55
164,2018,HAUTES PYRENEES,4.73,part_logements_sociaux_en_pourcentage,17.96
165,2017,HAUTES PYRENEES,4.87,part_logements_sociaux_en_pourcentage,17.77
166,2016,HERAULT,-0.38,part_logements_sociaux_en_pourcentage,12.21
167,2018,HERAULT,-0.29,part_logements_sociaux_en_pourcentage,12.94
168,2017,HERAULT,-0.44,part_logements_sociaux_en_pourcentage,12.46
169,2016,SAONE ET LOIRE,0.05,part_logements_sociaux_en_pourcentage,19.74
170,2018,SAONE ET LOIRE,-0.06,part_logements_sociaux_en_pourcentage,19.75
171,2017,SAONE ET LOIRE,-0.04,part_logements_sociaux_en_pourcentage,19.74
172,2016,PYRENEES ATLANTIQUES,0.38,part_logements_sociaux_en_pourcentage,13.12
173,2018,PYRENEES ATLANTIQUES,0.59,part_logements_sociaux_en_pourcentage,13.91
174,2017,PYRENEES ATLANTIQUES,0.61,part_logements_sociaux_en_pourcentage,13.56
175,2016,CHARENTE MARITIME,-1.45,part_logements_sociaux_en_pourcentage,11.29
176,2017,CHARENTE MARITIME,-1.44,part_logements_sociaux_en_pourcentage,11.51
177,2018,CHARENTE MARITIME,-1.43,part_logements_sociaux_en_pourcentage,11.89
178,2016,ORNE,-3.15,part_logements_sociaux_en_pourcentage,20.8
179,2018,ORNE,-4.18,part_logements_sociaux_en_pourcentage,20.81
180,2017,ORNE,-4.03,part_logements_sociaux_en_pourcentage,20.79
181,2016,SAVOIE,1.29,part_logements_sociaux_en_pourcentage,18.16
182,2018,SAVOIE,1.49,part_logements_sociaux_en_pourcentage,19.18
183,2017,SAVOIE,1.2,part_logements_sociaux_en_pourcentage,18.48
184,2016,DEUX SEVRES,-2.04,part_logements_sociaux_en_pourcentage,10.7
185,2018,DEUX SEVRES,-2.42,part_logements_sociaux_en_pourcentage,10.9
186,2017,DEUX SEVRES,-2.08,part_logements_sociaux_en_pourcentage,10.87
187,2016,AUDE,-0.21,part_logements_sociaux_en_pourcentage,12.38
188,2017,AUDE,-0.12,part_logements_sociaux_en_pourcentage,12.78
189,2018,AUDE,-0.23,part_logements_sociaux_en_pourcentage,13
190,2016,DROME,-3.47,part_logements_sociaux_en_pourcentage,13.4
191,2017,DROME,-3.76,part_logements_sociaux_en_pourcentage,13.52
192,2018,DROME,-3.97,part_logements_sociaux_en_pourcentage,13.72
193,2016,EURE,-1.37,part_logements_sociaux_en_pourcentage,22.58
194,2018,EURE,-1.98,part_logements_sociaux_en_pourcentage,23.01
195,2017,EURE,-1.99,part_logements_sociaux_en_pourcentage,22.83
196,2016,HAUT RHIN,-3.77,part_logements_sociaux_en_pourcentage,18.27
197,2018,HAUT RHIN,-4.18,part_logements_sociaux_en_pourcentage,18.29
198,2017,HAUT RHIN,-3.87,part_logements_sociaux_en_pourcentage,18.32
199,2016,LOIRET,-0.12,part_logements_sociaux_en_pourcentage,18.53
200,2017,LOIRET,-0.25,part_logements_sociaux_en_pourcentage,18.59
201,2018,LOIRET,-0.2,part_logements_sociaux_en_pourcentage,18.7
202,2016,VAUCLUSE,1.2,part_logements_sociaux_en_pourcentage,14.95
203,2018,VAUCLUSE,1.21,part_logements_sociaux_en_pourcentage,15.62
204,2017,VAUCLUSE,1.12,part_logements_sociaux_en_pourcentage,15.13
205,2016,INDRE,-0.09,part_logements_sociaux_en_pourcentage,18.56
206,2017,INDRE,-0.26,part_logements_sociaux_en_pourcentage,18.58
207,2018,INDRE,-0.43,part_logements_sociaux_en_pourcentage,18.47
208,2016,VOSGES,-2.15,part_logements_sociaux_en_pourcentage,19.89
209,2018,VOSGES,-2.81,part_logements_sociaux_en_pourcentage,19.66
210,2017,VOSGES,-2.4,part_logements_sociaux_en_pourcentage,19.79
211,2016,INDRE ET LOIRE,-0.1,part_logements_sociaux_en_pourcentage,18.55
212,2018,INDRE ET LOIRE,0.31,part_logements_sociaux_en_pourcentage,19.21
213,2017,INDRE ET LOIRE,0.11,part_logements_sociaux_en_pourcentage,18.95
214,2016,SARTHE,3.65,part_logements_sociaux_en_pourcentage,17.38
215,2018,SARTHE,2.98,part_logements_sociaux_en_pourcentage,17.67
216,2017,SARTHE,3.19,part_logements_sociaux_en_pourcentage,17.51
217,2016,ALLIER,-3.12,part_logements_sociaux_en_pourcentage,13.75
218,2018,ALLIER,-4.08,part_logements_sociaux_en_pourcentage,13.61
219,2017,ALLIER,-3.63,part_logements_sociaux_en_pourcentage,13.65
220,2016,VENDEE,-6.74,part_logements_sociaux_en_pourcentage,6.99
221,2017,VENDEE,-7.07,part_logements_sociaux_en_pourcentage,7.25
222,2018,VENDEE,-7.3,part_logements_sociaux_en_pourcentage,7.39
223,2016,DOUBS,1.78,part_logements_sociaux_en_pourcentage,21.47
224,2017,DOUBS,1.76,part_logements_sociaux_en_pourcentage,21.54
225,2018,DOUBS,1.6,part_logements_sociaux_en_pourcentage,21.41
226,2016,HAUTE MARNE,4.24,part_logements_sociaux_en_pourcentage,26.28
227,2018,HAUTE MARNE,3.78,part_logements_sociaux_en_pourcentage,26.25
228,2017,HAUTE MARNE,4.37,part_logements_sociaux_en_pourcentage,26.56
229,2016,VAR,-3.94,part_logements_sociaux_en_pourcentage,9.81
230,2018,VAR,-3.79,part_logements_sociaux_en_pourcentage,10.62
231,2017,VAR,-3.87,part_logements_sociaux_en_pourcentage,10.14
232,2016,HAUTE VIENNE,4.7,part_logements_sociaux_en_pourcentage,17.44
233,2017,HAUTE VIENNE,4.43,part_logements_sociaux_en_pourcentage,17.38
234,2018,HAUTE VIENNE,4.02,part_logements_sociaux_en_pourcentage,17.34
235,2016,PYRENEES ORIENTALES,-2.09,part_logements_sociaux_en_pourcentage,10.5
236,2018,PYRENEES ORIENTALES,-1.99,part_logements_sociaux_en_pourcentage,11.24
237,2017,PYRENEES ORIENTALES,-1.99,part_logements_sociaux_en_pourcentage,10.91
238,2016,VAL DE MARNE,3.85,part_logements_sociaux_en_pourcentage,30.1
239,2018,VAL DE MARNE,4.37,part_logements_sociaux_en_pourcentage,31.43
240,2017,VAL DE MARNE,4.01,part_logements_sociaux_en_pourcentage,30.64
241,2016,ARIEGE,-3.68,part_logements_sociaux_en_pourcentage,8.91
242,2018,ARIEGE,-4.2,part_logements_sociaux_en_pourcentage,9.03
243,2017,ARIEGE,-3.95,part_logements_sociaux_en_pourcentage,8.95
244,2016,EURE ET LOIR,3.53,part_logements_sociaux_en_pourcentage,22.18
245,2018,EURE ET LOIR,3.6,part_logements_sociaux_en_pourcentage,22.5
246,2017,EURE ET LOIR,3.88,part_logements_sociaux_en_pourcentage,22.72
247,2016,HAUTS DE SEINE,2.68,part_logements_sociaux_en_pourcentage,28.93
248,2018,HAUTS DE SEINE,2.34,part_logements_sociaux_en_pourcentage,29.4
249,2017,HAUTS DE SEINE,2.53,part_logements_sociaux_en_pourcentage,29.16
250,2016,YVELINES,-4.49,part_logements_sociaux_en_pourcentage,21.76
251,2018,YVELINES,-4.36,part_logements_sociaux_en_pourcentage,22.7
252,2017,YVELINES,-4.38,part_logements_sociaux_en_pourcentage,22.25
253,2016,OISE,-3.08,part_logements_sociaux_en_pourcentage,23.02
254,2018,OISE,-2.92,part_logements_sociaux_en_pourcentage,23.73
255,2017,OISE,-2.89,part_logements_sociaux_en_pourcentage,23.43
256,2016,HAUTES ALPES,2.07,part_logements_sociaux_en_pourcentage,15.82
257,2017,HAUTES ALPES,1.78,part_logements_sociaux_en_pourcentage,15.79
258,2018,HAUTES ALPES,1.2,part_logements_sociaux_en_pourcentage,15.61
259,2017,LOT,-3.85,part_logements_sociaux_en_pourcentage,9.05
260,2018,LOT,-4.11,part_logements_sociaux_en_pourcentage,9.12
261,2016,CANTAL,-6.41,part_logements_sociaux_en_pourcentage,10.46
262,2018,CANTAL,-7.02,part_logements_sociaux_en_pourcentage,10.67
263,2017,CANTAL,-6.71,part_logements_sociaux_en_pourcentage,10.57
264,2016,LOZERE,-2.44,part_logements_sociaux_en_pourcentage,10.15
265,2017,LOZERE,-2.67,part_logements_sociaux_en_pourcentage,10.23
266,2018,LOZERE,-2.68,part_logements_sociaux_en_pourcentage,10.55
267,2016,BOUCHES DU RHONE,4.06,part_logements_sociaux_en_pourcentage,17.81
268,2018,BOUCHES DU RHONE,4.1,part_logements_sociaux_en_pourcentage,18.51
269,2017,BOUCHES DU RHONE,4.13,part_logements_sociaux_en_pourcentage,18.14
270,2016,NIEVRE,-0.17,part_logements_sociaux_en_pourcentage,19.52
271,2018,NIEVRE,-0.32,part_logements_sociaux_en_pourcentage,19.49
272,2017,NIEVRE,-0.29,part_logements_sociaux_en_pourcentage,19.49
273,2016,PARIS,-4.5,part_logements_sociaux_en_pourcentage,21.75
274,2018,PARIS,-4.83,part_logements_sociaux_en_pourcentage,22.23
275,2017,PARIS,-4.67,part_logements_sociaux_en_pourcentage,21.96
276,2016,MOSELLE,0.12,part_logements_sociaux_en_pourcentage,22.16
277,2017,MOSELLE,0.09,part_logements_sociaux_en_pourcentage,22.28
278,2018,MOSELLE,0.69,part_logements_sociaux_en_pourcentage,23.16
279,2016,LOT,-3.77,part_logements_sociaux_en_pourcentage,8.82
280,2016,CORSE DU SUD,-1.12,part_logements_sociaux_en_pourcentage,14.14
281,2018,CORSE DU SUD,-0.86,part_logements_sociaux_en_pourcentage,15.37
282,2016,SEINE SAINT DENIS,11.15,part_logements_sociaux_en_pourcentage,37.4
283,2018,SEINE SAINT DENIS,11.37,part_logements_sociaux_en_pourcentage,38.43
284,2017,SEINE SAINT DENIS,11.32,part_logements_sociaux_en_pourcentage,37.95
285,2016,HAUTE CORSE,0.95,part_logements_sociaux_en_pourcentage,16.21
286,2018,HAUTE CORSE,0.73,part_logements_sociaux_en_pourcentage,16.96
287,2016,GERS,3.3,surface_habitable_moyenne_en_m2,70.66
288,2018,GERS,3.35,surface_habitable_moyenne_en_m2,70.29
289,2017,GERS,3.43,surface_habitable_moyenne_en_m2,70.61
290,2016,LOT ET GARONNE,2.24,surface_habitable_moyenne_en_m2,70.31
291,2018,LOT ET GARONNE,2.76,surface_habitable_moyenne_en_m2,70.08
292,2017,LOT ET GARONNE,2.53,surface_habitable_moyenne_en_m2,70.39
293,2016,ISERE,1.57,surface_habitable_moyenne_en_m2,68.47
294,2017,ISERE,1.58,surface_habitable_moyenne_en_m2,68.35
295,2018,ISERE,1.89,surface_habitable_moyenne_en_m2,68.17
296,2016,LOIRE,-0.16,surface_habitable_moyenne_en_m2,66.74
297,2018,LOIRE,0.52,surface_habitable_moyenne_en_m2,66.8
298,2017,LOIRE,-0.03,surface_habitable_moyenne_en_m2,66.74
299,2016,ALPES MARITIMES,-2.29,surface_habitable_moyenne_en_m2,64.28
300,2018,ALPES MARITIMES,-2.63,surface_habitable_moyenne_en_m2,63.4
301,2017,ALPES MARITIMES,-2.35,surface_habitable_moyenne_en_m2,64.17
302,2016,MAYENNE,1.61,surface_habitable_moyenne_en_m2,68.84
303,2018,MAYENNE,1.94,surface_habitable_moyenne_en_m2,68.85
304,2017,MAYENNE,1.58,surface_habitable_moyenne_en_m2,68.85
305,2016,CHARENTE,1.31,surface_habitable_moyenne_en_m2,69.38
306,2018,CHARENTE,1.97,surface_habitable_moyenne_en_m2,69.29
307,2017,CHARENTE,1.46,surface_habitable_moyenne_en_m2,69.32
308,2016,HAUTE GARONNE,-3.56,surface_habitable_moyenne_en_m2,63.8
309,2018,HAUTE GARONNE,-4.05,surface_habitable_moyenne_en_m2,62.89
310,2017,HAUTE GARONNE,-3.78,surface_habitable_moyenne_en_m2,63.4
311,2016,ARDECHE,2.38,surface_habitable_moyenne_en_m2,69.28
312,2017,ARDECHE,2.53,surface_habitable_moyenne_en_m2,69.3
313,2018,ARDECHE,3.04,surface_habitable_moyenne_en_m2,69.32
314,2016,AISNE,-1.04,surface_habitable_moyenne_en_m2,67.93
315,2018,AISNE,-1.15,surface_habitable_moyenne_en_m2,67.48
316,2017,AISNE,-1.02,surface_habitable_moyenne_en_m2,67.92
317,2016,LOIR ET CHER,3.3,surface_habitable_moyenne_en_m2,70.51
318,2018,LOIR ET CHER,3.37,surface_habitable_moyenne_en_m2,70.56
319,2017,LOIR ET CHER,3.33,surface_habitable_moyenne_en_m2,70.54
320,2016,GIRONDE,0.34,surface_habitable_moyenne_en_m2,68.41
321,2018,GIRONDE,-0.2,surface_habitable_moyenne_en_m2,67.12
322,2017,GIRONDE,0.06,surface_habitable_moyenne_en_m2,67.92
323,2016,VIENNE,-1.8,surface_habitable_moyenne_en_m2,66.27
324,2017,VIENNE,-1.62,surface_habitable_moyenne_en_m2,66.24
325,2018,VIENNE,-1.34,surface_habitable_moyenne_en_m2,65.98
326,2016,TARN ET GARONNE,3.37,surface_habitable_moyenne_en_m2,70.73
327,2018,TARN ET GARONNE,3.43,surface_habitable_moyenne_en_m2,70.37
328,2017,TARN ET GARONNE,3.41,surface_habitable_moyenne_en_m2,70.59
329,2016,MAINE ET LOIRE,1.3,surface_habitable_moyenne_en_m2,68.53
330,2018,MAINE ET LOIRE,1.14,surface_habitable_moyenne_en_m2,68.05
331,2017,MAINE ET LOIRE,1.46,surface_habitable_moyenne_en_m2,68.73
332,2016,AVEYRON,-1.42,surface_habitable_moyenne_en_m2,65.94
333,2018,AVEYRON,-0.98,surface_habitable_moyenne_en_m2,65.96
334,2017,AVEYRON,-1.26,surface_habitable_moyenne_en_m2,65.92
335,2016,CREUSE,1.87,surface_habitable_moyenne_en_m2,69.94
336,2018,CREUSE,2.83,surface_habitable_moyenne_en_m2,70.15
337,2017,CREUSE,2.05,surface_habitable_moyenne_en_m2,69.91
338,2016,TARN,2.45,surface_habitable_moyenne_en_m2,69.81
339,2018,TARN,2.84,surface_habitable_moyenne_en_m2,69.78
340,2017,TARN,2.52,surface_habitable_moyenne_en_m2,69.7
341,2016,SEINE MARITIME,-0.25,surface_habitable_moyenne_en_m2,67.99
342,2018,SEINE MARITIME,-0.39,surface_habitable_moyenne_en_m2,67.89
343,2017,SEINE MARITIME,-0.31,surface_habitable_moyenne_en_m2,68
344,2016,GARD,1.51,surface_habitable_moyenne_en_m2,68.87
345,2018,GARD,1.84,surface_habitable_moyenne_en_m2,68.78
346,2017,GARD,1.65,surface_habitable_moyenne_en_m2,68.83
347,2016,MANCHE,-0.57,surface_habitable_moyenne_en_m2,67.67
348,2018,MANCHE,0.48,surface_habitable_moyenne_en_m2,68.76
349,2017,MANCHE,0.42,surface_habitable_moyenne_en_m2,68.73
350,2016,BAS RHIN,-1.18,surface_habitable_moyenne_en_m2,68.01
351,2018,BAS RHIN,-0.72,surface_habitable_moyenne_en_m2,67.96
352,2017,BAS RHIN,-1.19,surface_habitable_moyenne_en_m2,67.96
353,2016,SEINE ET MARNE,4.61,surface_habitable_moyenne_en_m2,67.11
354,2018,SEINE ET MARNE,4.3,surface_habitable_moyenne_en_m2,66.28
